26 15 9 7 7 8 8 52 56 57 57 57 56 57 57 57 38 38 36 34 32 28 15 15 8 5 5 13 13 44 44 45 
9 7 7 8 13 13 39 42 42 45 47 49 50 51 52 52 46 45 45 43 36 14 8 8 5 6 11 11 11 36 30 33 
15 15 9 8 9 16 16 16 55 56 56 56 56 56 56 56 38 37 36 36 32 30 17 8 5 5 5 8 8 36 36 36 
75 75 60 53 53 51 45 36 22 19 19 18 21 33 33 61 25 18 14 13 15 15 22 36 44 43 44 44 44 43 44 44 
59 61 56 54 54 54 53 52 38 36 11 11 8 6 6 7 15 15 8 3 3 4 7 7 12 12 36 26 27 27 29 31 
60 59 56 53 49 45 45 43 40 36 23 16 16 12 9 9 27 21 21 16 12 11 10 12 12 17 27 43 42 43 43 43 
54 54 54 54 54 53 53 51 37 36 10 8 8 7 8 14 17 8 4 4 4 5 6 10 16 16 24 26 28 30 32 32 
51 50 48 45 43 41 41 36 24 16 11 9 9 8 10 10 27 19 12 12 9 8 10 10 36 36 36 43 44 44 44 44 
54 54 54 54 53 53 53 49 36 16 11 9 9 9 9 13 18 9 5 5 4 5 7 11 11 36 36 26 28 30 31 34 
49 47 45 45 42 39 36 17 11 11 8 7 8 16 16 16 22 13 13 8 7 12 12 41 41 43 43 44 44 44 44 45 
54 54 54 54 54 53 51 37 36 36 10 8 7 7 7 8 17 8 8 3 3 4 6 12 12 12 36 26 28 30 31 31 
57 56 56 56 56 56 55 45 36 17 13 13 11 11 12 15 14 14 8 6 6 8 13 13 13 36 29 30 32 33 33 34 
54 54 54 53 53 53 53 46 36 11 8 8 6 7 7 36 23 13 8 4 4 5 6 10 10 36 36 28 30 32 35 38 
53 54 53 52 36 17 17 12 11 14 22 35 35 40 44 43 10 8 8 7 11 11 36 32 35 35 38 39 41 39 40 40 
53 53 53 53 53 53 53 53 52 51 44 36 19 19 14 11 23 14 8 5 5 5 5 6 7 10 10 16 16 36 31 31 
53 53 53 53 53 53 52 52 45 36 36 17 13 10 9 9 17 9 9 5 5 5 6 8 14 14 14 36 31 32 34 34 
53 53 53 53 52 52 52 46 36 16 12 12 10 9 10 12 16 8 4 5 5 5 8 13 13 36 36 31 32 34 35 37 
53 53 53 53 54 57 57 57 53 36 18 12 9 9 8 8 14 14 8 4 4 4 6 6 9 16 16 36 30 30 32 34 
59 54 53 53 53 52 49 36 15 10 10 8 6 7 10 10 14 8 3 3 4 4 7 14 14 36 36 30 32 34 36 36 
54 54 53 53 52 51 39 39 36 11 8 7 6 6 6 6 11 8 8 5 5 6 9 16 26 28 28 30 31 33 34 35 
53 53 53 53 53 53 53 52 52 52 48 36 20 20 14 11 27 18 12 12 8 6 6 7 9 9 12 12 36 30 31 32 
53 53 53 53 53 53 53 53 52 52 52 50 45 36 19 13 23 14 14 9 6 5 5 5 5 6 7 10 15 15 15 36 
